town,region
BISHAN,CENTRAL
BUKIT MERAH,CENTRAL
BUKIT TIMAH,CENTRAL
CENTRAL AREA,CENTRAL
GEYLANG,CENTRAL
KALLANG/WHAMPOA,CENTRAL
MARINE PARADE,CENTRAL
QUEENSTOWN,CENTRAL
TOA PAYOH,CENTRAL
SEMBAWANG,NORTH
WOODLANDS,NORTH
YISHUN,NORTH
ANG MO KIO,NORTH EAST
HOUGANG,NORTH EAST
PUNGGOL,NORTH EAST
SENGKANG,NORTH EAST
SERANGOON,NORTH EAST
BUKIT BATOK,WEST
BUKIT PANJANG,WEST
CHOA CHU KANG,WEST
CLEMENTI,WEST
JURONG EAST,WEST
JURONG WEST,WEST
BEDOK,EAST
PASIR RIS,EAST
TAMPINES,EAST
